epsis_operator_key,epsis_plant_key,source,facility_id,link_role,evidence,source_url,accessed_date
에스케이이앤에스,광양,env_info,00000000000000187103,preferred,ENV-INFO facility name identifies SK E&S Gwangyang,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=00000000000000187103&OPEN_YN=Y,2026-06-15
포스코인터내셔널,포스코,env_info,CM000000000000003200,preferred,ENV-INFO child-site record identifies the current Incheon power facility,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=CM000000000000003200&OPEN_YN=Y,2026-06-15
포스코인터내셔널,포스코,cleansys,150045,preferred,CleanSYS facility name and address identify POSCO Incheon,https://cleansys.or.kr/statAnnual.do,2026-06-15
금호석유화학,금호여수,env_info,00000000000000185895,preferred,ENV-INFO facility name identifies Kumho Petrochemical Yeosu Number 2 Energy,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=00000000000000185895&OPEN_YN=Y,2026-06-15
금호석유화학,금호여수,cleansys,110044,preferred,CleanSYS facility name and address identify Kumho Yeosu,https://cleansys.or.kr/statAnnual.do,2026-06-15
한국토지주택공사,대전서남부,env_info,CM000000000000001929,preferred,ENV-INFO child-site name identifies Daejeon Southwest energy facility,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=CM000000000000001929&OPEN_YN=Y,2026-06-15
한국토지주택공사,대전서남부,cleansys,170077,preferred,CleanSYS facility name and address identify Daejeon Southwest,https://cleansys.or.kr/statAnnual.do,2026-06-15
한국토지주택공사,아산배방,env_info,CM000000000000001930,preferred,ENV-INFO child-site name identifies Asan Baebang energy facility,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=CM000000000000001930&OPEN_YN=Y,2026-06-15
한국토지주택공사,아산배방,cleansys,170721,preferred,CleanSYS facility name and address identify Asan Baebang,https://cleansys.or.kr/statAnnual.do,2026-06-15
보임열병합발전,여수,env_info,CT000000000000002650,preferred,ENV-INFO individual site and company history identify the Yeosu cogeneration plant,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=CT000000000000002650&OPEN_YN=Y,2026-06-15
보임열병합발전,여수,cleansys,110050,preferred,CleanSYS facility name and address identify the same Yeosu site,https://cleansys.or.kr/statAnnual.do,2026-06-15
한국중부발전,보령,env_info,00000000000000175922,preferred,ENV-INFO representative record identifies Boryeong power headquarters,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=00000000000000175922&OPEN_YN=Y,2026-06-15
한국중부발전,보령,cleansys,170030,preferred,CleanSYS facility name and address identify Boryeong,https://cleansys.or.kr/statAnnual.do,2026-06-15
한국수력원자력,고리,env_info,00000000000000162836,preferred,ENV-INFO individual site identifies KHNP Kori nuclear headquarters,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=00000000000000162836&OPEN_YN=Y,2026-06-18
한국수력원자력,새울,env_info,CM000000000000000583,preferred,ENV-INFO individual site identifies KHNP Saeul nuclear headquarters,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2023&COMP_ID=CM000000000000000583&OPEN_YN=Y,2026-06-18
한국수력원자력,월성,env_info,00000000000000161447,preferred,ENV-INFO individual site identifies KHNP Wolsong nuclear headquarters,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2023&COMP_ID=00000000000000161447&OPEN_YN=Y,2026-06-18
한국수력원자력,한빛,env_info,00000000000000163494,preferred,ENV-INFO individual site identifies KHNP Hanbit nuclear headquarters,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2024&COMP_ID=00000000000000163494&OPEN_YN=Y,2026-06-18
한국수력원자력,한울,env_info,00000000000000161591,preferred,ENV-INFO individual site identifies KHNP Hanul nuclear headquarters,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2023&COMP_ID=00000000000000161591&OPEN_YN=Y,2026-06-18
한국수력원자력,무주양수,env_info,00000000000000162565,preferred,ENV-INFO individual site identifies KHNP Muju pumped-storage plant,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2023&COMP_ID=00000000000000162565&OPEN_YN=Y,2026-06-18
한국수력원자력,산청양수,env_info,00000000000000226089,preferred,ENV-INFO individual site identifies KHNP Sancheong pumped-storage plant,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2023&COMP_ID=00000000000000226089&OPEN_YN=Y,2026-06-18
한국수력원자력,삼랑진양수,env_info,00000000000000161619,preferred,ENV-INFO individual site identifies KHNP Samnangjin pumped-storage plant,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2023&COMP_ID=00000000000000161619&OPEN_YN=Y,2026-06-18
한국수력원자력,양양양수,env_info,00000000000000230350,preferred,ENV-INFO individual site identifies KHNP Yangyang pumped-storage plant,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2023&COMP_ID=00000000000000230350&OPEN_YN=Y,2026-06-18
한국수력원자력,예천양수,env_info,00000000000000161555,preferred,ENV-INFO individual site identifies KHNP Yecheon pumped-storage plant,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2023&COMP_ID=00000000000000161555&OPEN_YN=Y,2026-06-18
한국수력원자력,청송양수,env_info,00000000000000163505,preferred,ENV-INFO individual site identifies KHNP Cheongsong pumped-storage plant,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2023&COMP_ID=00000000000000163505&OPEN_YN=Y,2026-06-18
한국수력원자력,청평양수,env_info,00000000000000163394,preferred,ENV-INFO individual site identifies KHNP Cheongpyeong pumped-storage plant,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2023&COMP_ID=00000000000000163394&OPEN_YN=Y,2026-06-18
포스코인터내셔널,포스코,env_info,00000000000000207695,historical,Historical ENV-INFO ID has the same Incheon power-site identity before the record transition,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000207695&OPEN_YN=Y,2026-06-15
지에스이앤알,구미,env_info,00000000000000257142,historical,Historical ENV-INFO ID has the same Gumi power-site identity before the record transition,https://www.env-info.kr/user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000257142&OPEN_YN=Y,2026-06-15
