record_id,collection_version,review_status,production_ready,sector,subsector,technology,fuel_or_material,pollutant,ef_value,ef_expression,ef_lower,ef_upper,unit,activity_basis,control_basis,geographic_scope,applicability,evidence_origin,factor_reference_period_start,factor_reference_period_end,source_id,source_table_or_location,quality_flag,notes,source_title,publication_year,source_url
EF00011,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Bituminous coal,SOx,,19*S,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00012,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Bituminous coal,TSP,50.0,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00013,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Bituminous coal,PM10,38.35,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00014,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Bituminous coal,PM2.5,13.3644,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00015,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Bituminous coal,VOCs,0.03,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00016,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid fuel,Bituminous coal,NH3,0.00028,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00017,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,SRF,CO,0.2633,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00018,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,SRF,NOx,0.9585,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00019,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,SRF,SOx,0.1021,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00020,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,SRF,TSP,0.0587,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00021,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,SRF,PM10,0.0523,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00022,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,SRF,PM2.5,0.0283,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00023,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,SRF,VOCs,0.0056,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00024,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,SRF,NH3,0.7674,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00025,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,Bio-SRF,CO,0.2175,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00026,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,Bio-SRF,NOx,0.3354,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00027,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,Bio-SRF,TSP,0.0097,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00028,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,Bio-SRF,PM10,0.009,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00029,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,Bio-SRF,PM2.5,0.0084,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00030,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,Bio-SRF,VOCs,0.0019,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00031,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Solid recovered fuel,Bio-SRF,NH3,0.0337,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS; mixed domestic and international source factors,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent where an expression is shown.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00032,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-A oil,CO,0.6,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00033,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-A oil,NOx,5.99,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00034,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-A oil,SOx,,18*S,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00035,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-A oil,TSP,0.84,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00036,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-A oil,PM10,0.77028,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00037,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-A oil,PM2.5,0.7678,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00038,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-A oil,VOCs,0.03,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00039,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-A oil,NH3,0.096,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00040,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-B oil,CO,0.6,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00041,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-B oil,NOx,2.47,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00042,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-B oil,SOx,,14.3*S,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00043,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-B oil,TSP,1.2,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00044,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-B oil,PM10,1.1004,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00045,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-B oil,PM2.5,0.7678,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00046,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-B oil,VOCs,0.154,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00047,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-B oil,NH3,0.096,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00048,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-C oil,CO,0.6,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00049,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-C oil,NOx,6.64,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00050,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-C oil,SOx,,14.3*S,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00051,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-C oil,TSP,,1.1*S+0.39,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00052,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-C oil,PM10,,1.0087*S+0.35763,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00053,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-C oil,PM2.5,,0.57715*S+0.19066,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00054,1.0.0,superseded_pending_capss_vii_diff,false,Buildings and services,Commercial/public stationary combustion,Boiler (classes 1–3),B-C oil,VOCs,0.154,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 2-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
