"denominator_id","inventory_id","sector","subsector","technology","pollutant","preferred_activity_denominator","preferred_ef_unit","compatible_activity_units","conversion_required","conversion_description","controlled_or_uncontrolled","temporal_weighting_needed","technology_weighting_needed","control_weighting_needed","notes"
"den_ind_steel_rolling_co","ind_steel_rolling","steel","finishing","rolling_and_finishing","CO","tonne finished steel","kg CO/tonne finished steel","tonne finished steel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_combustion_nox","ind_steel_combustion","steel","all_routes","industrial_combustion","NOx","TJ fuel consumed","kg NOx/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_combustion_sox","ind_steel_combustion","steel","all_routes","industrial_combustion","SOx","TJ fuel consumed","kg SOx/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_combustion_pm25","ind_steel_combustion","steel","all_routes","industrial_combustion","PM2.5","TJ fuel consumed","kg PM2.5/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_combustion_pm10","ind_steel_combustion","steel","all_routes","industrial_combustion","PM10","TJ fuel consumed","kg PM10/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_combustion_tsp","ind_steel_combustion","steel","all_routes","industrial_combustion","TSP","TJ fuel consumed","kg TSP/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_combustion_vocs","ind_steel_combustion","steel","all_routes","industrial_combustion","VOCs","TJ fuel consumed","kg VOCs/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_combustion_nh3","ind_steel_combustion","steel","all_routes","industrial_combustion","NH3","TJ fuel consumed","kg NH3/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_combustion_co","ind_steel_combustion","steel","all_routes","industrial_combustion","CO","TJ fuel consumed","kg CO/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_steel_combustion_bc","ind_steel_combustion","steel","all_routes","industrial_combustion","BC","TJ fuel consumed","kg BC/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_clinker_nox","ind_cement_clinker","cement","clinker","clinker_kiln_process","NOx","tonne clinker","kg NOx/tonne clinker","tonne clinker","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_clinker_sox","ind_cement_clinker","cement","clinker","clinker_kiln_process","SOx","tonne clinker","kg SOx/tonne clinker","tonne clinker","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_clinker_pm25","ind_cement_clinker","cement","clinker","clinker_kiln_process","PM2.5","tonne clinker","kg PM2.5/tonne clinker","tonne clinker","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_clinker_pm10","ind_cement_clinker","cement","clinker","clinker_kiln_process","PM10","tonne clinker","kg PM10/tonne clinker","tonne clinker","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_clinker_tsp","ind_cement_clinker","cement","clinker","clinker_kiln_process","TSP","tonne clinker","kg TSP/tonne clinker","tonne clinker","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_clinker_co","ind_cement_clinker","cement","clinker","clinker_kiln_process","CO","tonne clinker","kg CO/tonne clinker","tonne clinker","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_grinding_pm25","ind_cement_grinding","cement","grinding","cement_grinding","PM2.5","tonne cement","kg PM2.5/tonne cement","tonne cement","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_grinding_pm10","ind_cement_grinding","cement","grinding","cement_grinding","PM10","tonne cement","kg PM10/tonne cement","tonne cement","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_grinding_tsp","ind_cement_grinding","cement","grinding","cement_grinding","TSP","tonne cement","kg TSP/tonne cement","tonne cement","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_kiln_combustion_nox","ind_cement_kiln_combustion","cement","clinker","kiln_combustion","NOx","TJ fuel consumed","kg NOx/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_kiln_combustion_sox","ind_cement_kiln_combustion","cement","clinker","kiln_combustion","SOx","TJ fuel consumed","kg SOx/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_kiln_combustion_pm25","ind_cement_kiln_combustion","cement","clinker","kiln_combustion","PM2.5","TJ fuel consumed","kg PM2.5/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_kiln_combustion_pm10","ind_cement_kiln_combustion","cement","clinker","kiln_combustion","PM10","TJ fuel consumed","kg PM10/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_kiln_combustion_tsp","ind_cement_kiln_combustion","cement","clinker","kiln_combustion","TSP","TJ fuel consumed","kg TSP/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_kiln_combustion_vocs","ind_cement_kiln_combustion","cement","clinker","kiln_combustion","VOCs","TJ fuel consumed","kg VOCs/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_kiln_combustion_co","ind_cement_kiln_combustion","cement","clinker","kiln_combustion","CO","TJ fuel consumed","kg CO/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_kiln_combustion_bc","ind_cement_kiln_combustion","cement","clinker","kiln_combustion","BC","TJ fuel consumed","kg BC/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_fugitive_pm25","ind_cement_fugitive","cement","clinker_and_grinding","material_handling","PM2.5","tonne material handled","kg PM2.5/tonne material handled","tonne material handled","false","","uncontrolled","false","true","false","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_fugitive_pm10","ind_cement_fugitive","cement","clinker_and_grinding","material_handling","PM10","tonne material handled","kg PM10/tonne material handled","tonne material handled","false","","uncontrolled","false","true","false","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_cement_fugitive_tsp","ind_cement_fugitive","cement","clinker_and_grinding","material_handling","TSP","tonne material handled","kg TSP/tonne material handled","tonne material handled","false","","uncontrolled","false","true","false","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_organic_nox","ind_chem_organic","chemicals","organic","organic_chemical_process","NOx","tonne chemical product","kg NOx/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_organic_sox","ind_chem_organic","chemicals","organic","organic_chemical_process","SOx","tonne chemical product","kg SOx/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_organic_pm25","ind_chem_organic","chemicals","organic","organic_chemical_process","PM2.5","tonne chemical product","kg PM2.5/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_organic_pm10","ind_chem_organic","chemicals","organic","organic_chemical_process","PM10","tonne chemical product","kg PM10/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_organic_tsp","ind_chem_organic","chemicals","organic","organic_chemical_process","TSP","tonne chemical product","kg TSP/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_organic_vocs","ind_chem_organic","chemicals","organic","organic_chemical_process","VOCs","tonne chemical product","kg VOCs/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_organic_co","ind_chem_organic","chemicals","organic","organic_chemical_process","CO","tonne chemical product","kg CO/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_inorganic_nox","ind_chem_inorganic","chemicals","inorganic","inorganic_chemical_process","NOx","tonne chemical product","kg NOx/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_inorganic_sox","ind_chem_inorganic","chemicals","inorganic","inorganic_chemical_process","SOx","tonne chemical product","kg SOx/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_inorganic_pm25","ind_chem_inorganic","chemicals","inorganic","inorganic_chemical_process","PM2.5","tonne chemical product","kg PM2.5/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_inorganic_pm10","ind_chem_inorganic","chemicals","inorganic","inorganic_chemical_process","PM10","tonne chemical product","kg PM10/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_inorganic_tsp","ind_chem_inorganic","chemicals","inorganic","inorganic_chemical_process","TSP","tonne chemical product","kg TSP/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_inorganic_vocs","ind_chem_inorganic","chemicals","inorganic","inorganic_chemical_process","VOCs","tonne chemical product","kg VOCs/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_inorganic_nh3","ind_chem_inorganic","chemicals","inorganic","inorganic_chemical_process","NH3","tonne chemical product","kg NH3/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_inorganic_co","ind_chem_inorganic","chemicals","inorganic","inorganic_chemical_process","CO","tonne chemical product","kg CO/tonne chemical product","tonne chemical product","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_combustion_nox","ind_chem_combustion","chemicals","steam_and_heat","industrial_combustion","NOx","TJ fuel consumed","kg NOx/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_combustion_sox","ind_chem_combustion","chemicals","steam_and_heat","industrial_combustion","SOx","TJ fuel consumed","kg SOx/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_combustion_pm25","ind_chem_combustion","chemicals","steam_and_heat","industrial_combustion","PM2.5","TJ fuel consumed","kg PM2.5/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_combustion_pm10","ind_chem_combustion","chemicals","steam_and_heat","industrial_combustion","PM10","TJ fuel consumed","kg PM10/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_combustion_tsp","ind_chem_combustion","chemicals","steam_and_heat","industrial_combustion","TSP","TJ fuel consumed","kg TSP/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_combustion_vocs","ind_chem_combustion","chemicals","steam_and_heat","industrial_combustion","VOCs","TJ fuel consumed","kg VOCs/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_combustion_nh3","ind_chem_combustion","chemicals","steam_and_heat","industrial_combustion","NH3","TJ fuel consumed","kg NH3/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_combustion_co","ind_chem_combustion","chemicals","steam_and_heat","industrial_combustion","CO","TJ fuel consumed","kg CO/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_combustion_bc","ind_chem_combustion","chemicals","steam_and_heat","industrial_combustion","BC","TJ fuel consumed","kg BC/TJ fuel consumed","TJ fuel","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_storage_loading_vocs","ind_chem_storage_loading","chemicals","storage_and_loading","tank_and_loading_losses","VOCs","tonne product handled","kg VOCs/tonne product handled","tonne product handled","false","","uncontrolled","false","true","false","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_flaring_nox","ind_chem_flaring","chemicals","flaring","flare","NOx","TJ flare gas","kg NOx/TJ flare gas","TJ flare gas","false","","both","true","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_flaring_sox","ind_chem_flaring","chemicals","flaring","flare","SOx","TJ flare gas","kg SOx/TJ flare gas","TJ flare gas","false","","both","true","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_flaring_pm25","ind_chem_flaring","chemicals","flaring","flare","PM2.5","TJ flare gas","kg PM2.5/TJ flare gas","TJ flare gas","false","","both","true","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_flaring_pm10","ind_chem_flaring","chemicals","flaring","flare","PM10","TJ flare gas","kg PM10/TJ flare gas","TJ flare gas","false","","both","true","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_flaring_tsp","ind_chem_flaring","chemicals","flaring","flare","TSP","TJ flare gas","kg TSP/TJ flare gas","TJ flare gas","false","","both","true","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_flaring_vocs","ind_chem_flaring","chemicals","flaring","flare","VOCs","TJ flare gas","kg VOCs/TJ flare gas","TJ flare gas","false","","both","true","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_flaring_co","ind_chem_flaring","chemicals","flaring","flare","CO","TJ flare gas","kg CO/TJ flare gas","TJ flare gas","false","","both","true","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_chem_flaring_bc","ind_chem_flaring","chemicals","flaring","flare","BC","TJ flare gas","kg BC/TJ flare gas","TJ flare gas","false","","both","true","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
"den_ind_plastics_resin_nox","ind_plastics_resin","plastics","resin","resin_production","NOx","tonne resin","kg NOx/tonne resin","tonne resin","false","","both","false","true","true","Registry entry defines a legal activity-EF join; factor values are intentionally deferred. Technology and control weights must be applied where flagged."
