"source_id","source_priority","organization","title","source_type","sector_scope","pollutant_scope","activity_or_ef","publication_year","measurement_year_start","measurement_year_end","geographic_scope","update_frequency","url","access_status","license_or_use_note","official_or_literature","expected_variables","known_limitations","retrieval_date","notes"
"mof_shipping","Tier 1","Ministry of Oceans and Fisheries","Maritime and fisheries statistics portal","official statistics","shipping|fisheries","not applicable","vessel fleet and movements","","","","Korea","annual","https://www.mof.go.kr/statPortal/","public","Official statistics portal.","official","vessel type|tonnage|fuel|voyage|port|year","Fuel, engine, and operating mode may not coexist in one public table.","2026-07-22",""
"port_mis","Tier 1","Ministry of Oceans and Fisheries","PORT-MIS port operations information system","administrative system","shipping|ports","not applicable","vessel calls and port activity","","","","Korean ports","continuous","https://www.molit.go.kr/USR/policyTarget/dtl.jsp?idx=145","public","Official system description is public; detailed records may require PORT-MIS authorization.","official","vessel identity|type|arrival|departure|berth|cargo","Detailed engine and fuel variables may be restricted.","2026-07-22","The current application endpoint has changed over time; the registry links the stable official description."
"aviation_statistics","Tier 1","Ministry of Land Infrastructure and Transport / Aviation Portal","Korean airport and aviation statistics","official statistics","domestic aviation","not applicable","flights passengers cargo and aircraft","","","","Korean airports and domestic routes","monthly","https://airportal.go.kr/stats/survey/odMain.do","public","Official aviation portal.","official","airport|route|aircraft|flights|passengers|cargo|year","Public activity does not always identify aircraft-engine combination or cruise fuel.","2026-07-22",""
"kosa_steel","Tier 1","Korea Iron and Steel Association","Korean steel industry statistics","official industry statistics","steel","not applicable","physical steel production","","","","Korea","monthly and annual","https://www.kosa.or.kr/","public","Industry association terms apply.","official","crude steel by route|EAF steel|finished product|year","Some detailed product tables may require membership or purchase.","2026-07-22",""
"cement_statistics","Tier 1","Korea Cement Association","Korean cement production and shipment statistics","official industry statistics","cement","not applicable","clinker and cement production","","","","Korea","annual","https://www.cement.or.kr/index_new.asp","public","Industry association terms apply; detailed data may be restricted.","official","clinker|cement production|shipments|year","Clinker output and kiln fuel may not be publicly linked.","2026-07-22",""
"livestock_statistics","Tier 1","Statistics Korea KOSIS / Ministry of Agriculture Food and Rural Affairs","Livestock population and manure-management statistics","official statistics","livestock","not applicable","animal populations and systems","","","","Korea","quarterly and annual","https://kosis.kr/","public","KOSIS public statistics terms apply.","official","species|age class|animal count|housing|manure system|year","Housing and manure-system shares are less complete than animal counts.","2026-07-22",""
"fertilizer_statistics","Tier 1","Korea Fertilizer Industry Association / KOSIS","Fertilizer supply and agricultural-use statistics","official industry statistics","fertilizer","not applicable","fertilizer mass and nitrogen activity","","","","Korea","annual","https://www.fert-kfia.or.kr/","public","Association publication terms apply.","official","fertilizer type|product mass|nitrogen content|year","Sales are not identical to application; nitrogen conversion and stocks are needed.","2026-07-22",""
"crop_statistics","Tier 1","Statistics Korea KOSIS","Crop area production and residue activity statistics","official statistics","crops|biomass burning","not applicable","crop production and area","","","","Korea","annual","https://kosis.kr/","public","KOSIS public statistics terms apply.","official","crop|area|production|year","Residue-to-product and burned-share parameters require separate evidence.","2026-07-22",""
"agricultural_machinery_stats","Tier 1","Ministry of Agriculture Food and Rural Affairs","Agricultural machinery holdings and utilization statistics","official statistics","agricultural machinery","not applicable","equipment stock and activity","","","","Korea","annual","https://www.mafra.go.kr/","public","Official ministry portal; detailed tables may be on KOSIS.","official","equipment type|power|model year|count|hours","Fuel and load factor may not be observed directly.","2026-07-22",""
"forestry_statistics","Tier 1","Korea Forest Service","Statistical yearbook of forestry","official statistics","forestry","not applicable","forestry production and machinery activity","","","","Korea","annual","https://www.forest.go.kr/","public","Official forestry portal.","official","forestry output|equipment|fuel|year","Machinery fuel detail may be unavailable.","2026-07-22",""
"fisheries_statistics","Tier 1","Ministry of Oceans and Fisheries","Fisheries production and vessel statistics","official statistics","fisheries","not applicable","fishing effort fleet and fuel","","","","Korea","annual","https://www.mof.go.kr/statPortal/","public","Official statistics portal.","official","fishery type|vessel|effort|fuel|catch|year","Potential overlap with shipping statistics requires vessel-boundary checks.","2026-07-22",""
"construction_machinery_stats","Tier 1","Ministry of Land Infrastructure and Transport","Construction machinery registration statistics","official statistics","construction machinery","not applicable","equipment fleet","","","","Korea","monthly and annual","https://stat.molit.go.kr/","public","Official statistics portal.","official","equipment type|model year|power|registration count","Registered stock does not provide operating hours or load.","2026-07-22",""
"construction_statistics","Tier 1","Ministry of Land Infrastructure and Transport / KOSIS","Building construction and permit statistics","official statistics","construction fugitive dust","not applicable","constructed area and project activity","","","","Korea","monthly and annual","https://stat.molit.go.kr/","public","Official statistics portal.","official","building type|floor area|construction duration|region","Permit area and active construction area differ.","2026-07-22",""
"waste_statistics","Tier 1","Korea Environment Corporation","Resource Circulation Information System waste statistics","official statistics","waste","not applicable","waste throughput by treatment","","","","Korea","annual","https://www.recycling-info.or.kr/","public","Official environmental statistics portal.","official","waste type|incinerated|landfilled|recycled|facility|year","Medical and industrial categories may not align directly with CAPSS.","2026-07-22",""
"wastewater_statistics","Tier 1","Ministry of Environment","National Sewerage Information System statistics","official statistics","wastewater","not applicable","wastewater throughput and treatment","","","","Korea","annual","https://www.hasudoinfo.or.kr/","public","Official sewerage information portal.","official","flow|treatment type|facility|industrial or municipal|year","Influent pollutant load and process configuration may be incomplete.","2026-07-22",""
"petroleum_statistics","Tier 1","Korea National Oil Corporation","Petronet petroleum information","official statistics","refining|fuel distribution","not applicable","refinery throughput and product sales","","","","Korea","monthly","https://www.petronet.co.kr/","public","Some detailed Petronet data require subscription.","official","crude input|refinery output|product sales|stocks|year","Public tables may not expose facility flare gas or tank controls.","2026-07-22",""
"hydrogen_statistics","Tier 1","H2KOREA","Korean hydrogen industry statistics and plans","official industry statistics","hydrogen","not applicable","hydrogen output by route","","","","Korea","irregular","https://www.h2korea.or.kr/","public","Association/public program terms apply; facility details may be restricted.","official","production route|capacity|output|feedstock|year","Historical route-specific output is incomplete.","2026-07-22",""
"korean_eaf_paper","Tier 2","Korean Society for Atmospheric Environment","Emission Characteristics and Coefficients of Air Pollutants in Iron and Steel Manufacturing Facilities","peer-reviewed article","steel including EAF","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO","measured emission factors","2021","","","Korean iron and steel facilities","one publication","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002732691","public","Use subject to journal copyright; extract only factual factor records with citation.","literature","facility process|control|pollutant mass|production denominator|sample method","Representativeness, control configuration, and EAF-specific sample count require full-text review.","2026-07-22","Four supplied factor records are imported as candidate validation evidence; full-text review remains required."
"korean_livestock_nh3_paper","Tier 2","Korean Society of Agricultural Engineers","Estimation of Ammonia and Particulate Matter Emission Factors from Mechanically Ventilated Pig Houses","peer-reviewed article","livestock housing","PM2.5|PM10|TSP|NH3","measured emission factors","2020","","","Korean pig houses","one publication","https://www.kci.go.kr/kciportal/landing/article.kci?arti_id=ART002652151","public","Use subject to journal copyright; cite DOI 10.5389/KSAE.2020.62.6.033.","literature","animal stage|ventilation|pollutant concentration|kg per animal-year","Short monitoring and limited buildings do not establish national annual averages.","2026-07-22","Raw measured factors must be weighted by annual housing and animal shares."
"korean_fertilizer_nh3_paper","Tier 2","Korean Society of Environmental Agriculture","Evaluation of Ammonia Emission Coefficient for Compound Fertilizers in Apple and Pear Orchards","peer-reviewed article","fertilizer application","NH3","measured emission factors","2021","","","Korean orchards","one publication","https://www.kci.go.kr/kciportal/landing/article.kci?arti_id=ART002788831","public","Use subject to journal copyright; cite DOI 10.5338/KJEA.2021.40.4.42.","literature","crop|fertilizer type|nitrogen application|soil|NH3 flux","Two orchard crops and one fertilizer formulation are not nationally representative.","2026-07-22","Use only within a crop/fertilizer weighting framework."
"mof_ship_ef","Tier 1","Ministry of Oceans and Fisheries","Ship air-pollutant comprehensive-management emission-factor program","official program / restricted dataset","shipping","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO|BC","measured or program emission factors","2023","","","Korean vessels and ports","program updates","https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=2&docSeq=52621&menuSeq=427","restricted_source","Program record is public; underlying contractor dataset is not publicly downloadable and requires MOF access confirmation.","official","vessel|engine|fuel|mode|load|pollutant|factor|measurement method","Public contract notice does not expose the row-level factor dataset.","2026-07-22","Do not substitute generic leisure-vessel factors while access remains restricted."
"korean_ship_ef_paper","Tier 2","Korean Society of Marine Environment and Safety","Study on Measurement-Based Ship Air-Pollutant Emission Factors and Simulated Emissions","peer-reviewed article","shipping","NOx|SOx|PM2.5|PM10|TSP|VOCs|CO","measured emission factors","2026","","","Korean ship measurements","one publication","https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003311970","public","Use subject to journal copyright.","literature","ship|engine|fuel|load|pollutant|g per kWh|measurement method","New study coverage and transferability need full-text review.","2026-07-22","Secondary lead after official Korean sources."
"capss_handbook_vi_mirror","Tier 2","National Air Emission Inventory and Research Center / NIER","National Air Pollutant Emissions Estimation Method Handbook VI","official handbook accessed through secondary mirror","all CAPSS sectors","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO","provisional transcribed emission factors","2023","","2020","Korea","superseded","https://www.scribd.com/document/742589271/","public","The underlying handbook is official, but the supplied transcription used a secondary mirror; retain only as provisional evidence pending an official VII row-level diff.","official","sector|technology|fuel|pollutant|factor|unit|control basis","Superseded by Handbook VII (2025); all imported rows are prohibited from production use until reviewed.","2026-07-22","Imported from the user-supplied first-pass collection; source document itself is not vendored."
"korean_steel_melting_paper_2004","Tier 2","Korean researchers","Development of Air Pollutant Emission Factors for Melting Furnaces in the Korean Steel Industry","peer-reviewed article","steel melting furnaces","SOx|PM10|TSP","measured emission-factor ranges","2004","","","Korean steel facilities","one publication","https://www.kci.go.kr/kciportal/landing/article.kci?arti_id=ART000938643","public","Use subject to journal copyright; retain factual ranges with citation.","literature","furnace route|control|pollutant|factor range|production denominator","Historical sample mixes furnace technologies and control configurations.","2026-07-22","Imported from the user-supplied first-pass collection as validation evidence."
"korean_residue_burning_paper_2022","Tier 2","Korean Society for Atmospheric Environment","Development of Emission Factors for Air Pollutants from Agricultural Residue Burning in Korea","peer-reviewed article","agricultural residue burning","NOx|SOx|PM2.5|PM10|TSP|VOCs|NH3|CO","measured emission factors","2022","","","Korean crop residues","one publication","https://doi.org/10.5572/KOSAE.2022.38.3.470","public","Use subject to journal copyright; retain factual factors with citation.","literature","crop|dry residue mass|pollutant|factor|measurement method","Only factors unambiguously reported in the supplied comparison table are imported; national use requires crop and burn-share weighting.","2026-07-22","Imported from the user-supplied first-pass collection as a candidate Korean update."
"korean_small_incinerator_paper_2018","Tier 2","Korean researchers","Air pollutant measurements from small Korean industrial waste incinerators","peer-reviewed article","small industrial waste incinerators","NOx|SOx|TSP|NH3","outlet concentration evidence","2018","","","Korean industrial incinerators","one publication","https://kiss.kstudy.com/Detail/Ar?key=3639258","public","Use subject to journal copyright; concentration results are evidence, not mass-normalized factors.","literature","incinerator capacity|pollutant concentration|flow|waste throughput|control","The supplied evidence lacks exhaust flow and waste throughput needed for kg per tonne conversion.","2026-07-22","Stored only in the non-mass-normalized evidence table."
